"Stkcd","Trddt","Dsmvtll"
"000951","2022-11-08","14956086.95"
"000951","2022-11-09","15743249.42"
"000951","2022-11-10","15332045.15"
"000951","2022-11-11","15778495.50"
"000951","2022-11-14","16377678.88"
"000951","2022-11-15","16448171.04"
"000951","2022-11-16","15813741.59"
"000951","2022-11-17","15966474.60"
"000951","2022-11-18","15684505.96"
"000951","2022-11-21","15919479.83"
"000951","2022-11-22","15602265.10"
"000951","2022-11-23","15719752.04"
"000951","2022-11-24","15813741.59"
"000951","2022-11-25","15989971.99"
"000951","2022-11-28","16213197.17"
"000951","2022-11-29","16765385.77"
"000951","2022-11-30","17446810.00"
"000951","2022-12-01","17505553.46"
"000951","2022-12-02","16412924.96"
"000951","2022-12-05","16988610.95"
"000951","2022-12-06","17388066.53"
"000951","2022-12-07","17399815.22"
"000951","2022-12-08","18175229.00"
"000951","2022-12-09","18527689.81"
"000951","2022-12-12","18797909.76"
"000951","2022-12-13","19162119.26"
"000951","2022-12-14","18175229.00"
"000951","2022-12-15","17893260.35"
"000951","2022-12-16","17952003.82"
"000951","2022-12-19","17529050.85"
"000951","2022-12-20","17023857.03"
"000951","2022-12-21","17846265.58"
"000951","2022-12-22","18175229.00"
"000951","2022-12-23","17928506.43"
"000951","2022-12-26","17482056.08"
"000951","2022-12-27","17411563.92"
"000951","2022-12-28","16918118.78"
"000951","2022-12-29","17705281.26"
"000951","2022-12-30","17435061.30"
"002594","2022-01-04","491361713.71"
"002594","2022-01-05","459196559.46"
"002594","2022-01-06","453321976.61"
"002594","2022-01-07","446939713.76"
"002594","2022-01-10","446577085.19"
"002594","2022-01-11","433504325.20"
"002594","2022-01-12","464164570.88"
"002594","2022-01-13","462913502.31"
"002594","2022-01-14","458978982.31"
"002594","2022-01-17","483184439.43"
"002594","2022-01-18","482441050.86"
"002594","2022-01-19","458670748.03"
"002594","2022-01-20","455225776.60"
"002594","2022-01-21","454010970.89"
"002594","2022-01-24","455824113.75"
"002594","2022-01-25","435716359.49"
"002594","2022-01-26","452361010.89"
"002594","2022-01-27","437456976.63"
"002594","2022-01-28","411220799.51"
"002594","2022-02-07","443132113.76"
"002594","2022-02-08","429660462.35"
"002594","2022-02-09","444546365.19"
"002594","2022-02-10","435371862.34"
"002594","2022-02-11","417367353.79"
"002594","2022-02-14","420612879.50"
"002594","2022-02-15","432090073.78"
"002594","2022-02-16","436242170.91"
"002594","2022-02-17","444963388.05"
"002594","2022-02-18","440521188.05"
"002594","2022-02-21","438581125.20"
"002594","2022-02-22","430530770.92"
"002594","2022-02-23","456911999.46"
"002594","2022-02-24","443966159.48"
"002594","2022-02-25","449369325.18"
"002594","2022-02-28","452560456.61"
"002594","2022-03-01","456513108.03"
"002594","2022-03-02","450747313.75"
"002594","2022-03-03","444600759.47"
"002594","2022-03-04","423912799.50"
"002594","2022-03-07","405436873.81"
"002594","2022-03-08","391983353.82"
"002594","2022-03-09","405400610.95"
"002594","2022-03-10","415391028.08"
"002594","2022-03-11","416750885.22"
